[GENERAL_DATA]
v: 3
M: 5000
Activities NO: 15
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 14
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 10 5 20 15 20 25 5 10
10 0 20 10 10 20 20 10 5
5 20 0 5 5 15 10 25 5
20 10 5 0 10 15 10 30 25
15 10 5 10 0 20 25 10 5
20 20 15 15 20 0 5 10 20
25 20 10 10 25 5 0 30 25
5 10 25 30 10 10 25 0 10
10 5 5 25 5 20 25 10 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 2 1 4 3 4 5 1 2
2 0 4 2 2 4 4 2 1
1 4 0 1 1 3 2 5 1
4 2 1 0 2 3 2 6 5
3 2 1 2 0 4 5 2 1
4 4 3 3 4 0 1 2 4
5 4 2 2 5 1 0 6 5
1 2 5 6 2 2 5 0 2
2 1 1 5 1 4 5 2 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	2	3	0	6	10	5	1	0
2	2	3	0	12	10	5	1	1
3	3	5	0	10	10	5	0	1
4	4	7	0	3	10	5	2	0
5	4	2	2	9	10	5	2	1
6	4	2	0	4	10	5	0	1
7	5	2	0	12	10	5	3	0
8	5	2	0	9	10	5	3	0
9	5	3	0	10	10	5	3	1
10	5	3	0	13	20	10	0	1
11	6	3	0	9	20	10	4	0
12	6	4	3	13	20	10	4	1
13	1	2	0	8	20	10	5	0
14	1	2	0	10	20	10	5	1
15	2	1	0	3	20	10	0	1
16	7	0	0	0	0	0	0	0
17	8	0	0	0	0	0	0	0
18	9	0	0	0	0	0	0	0
