[GENERAL_DATA]
v: 2
M: 5000
Activities NO: 12
n: 9
Primary Depot Index: 7
DepotsNO: 3
T: 7
WHours: 8
Max_Whours: 12
Co: 10
Cv: 200
Pu: 50

[COST_MATRIX]
1 2 3 4 5 6 7 8 9
0 3 15 9 6 3 12 6 6
3 0 3 9 6 18 3 6 9
15 3 0 12 3 6 3 6 9
9 9 12 0 3 6 3 12 12
6 6 3 3 0 18 3 12 6
3 18 6 6 15 0 6 12 3
12 3 3 3 3 6 0 3 9
6 6 6 12 12 12 3 0 3
6 9 9 12 6 3 9 3 0

[TIME_MATRIX]
1 2 3 4 5 6 7 8 9
0 1 5 3 2 1 4 2 2
1 0 1 3 2 6 1 2 3
5 1 0 4 1 2 1 2 3
3 3 4 0 1 2 1 4 4
2 2 1 1 0 6 1 4 2
1 6 2 2 5 0 2 4 1
4 1 1 1 1 2 0 1 3
2 2 2 4 4 4 1 0 1
2 3 3 4 2 1 3 1 0

[ACTIVITIES]
Activity	Asset	Maintenance Time (hr)	Release Date	Due Date (Days)	Penalty - Late	Penalty - Early	Broken	TE
1	3	2	0	7	10	0	0	1
2	3	2	0	7	10	0	0	1
3	4	3	0	3	10	0	0	1
4	4	3	0	4	10	0	0	1
5	4	4	0	6	10	5	0	1
6	5	2	2	4	10	0	0	1
7	5	1	0	5	10	4	0	1
8	6	1	0	7	10	3	0	1
9	6	1	0	7	10	6	0	1
10	6	2	2	7	10	20	0	1
11	1	3	0	2	10	0	0	1
12	2	1	0	1	10	0	0	1
13	7	0	0	0	0	0	0	0
14	8	0	0	0	0	0	0	0
15	9	0	0	0	0	0	0	0
